"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1455593_at",1.04739737563505,4.48710010842481,2.3714938425534,0.0273626050904151,0.0307614524935711,-4.46880654776352
"1448764_a_at",2.82406960386547,4.56067508468921,2.37142014049518,0.027366878146136,0.0307614524935711,-4.46894963027641
"1455972_x_at",-0.514734635577547,8.45535566398659,-2.37061593311045,0.0274135441424846,0.0307858285554464,-4.4705107236938
"1426225_at",2.72297969780705,6.22986215886093,2.37052838855053,0.0274186285571944,0.0307858285554464,-4.47068064316602
"1428005_at",1.54237810592225,4.60711375080286,2.36593495160626,0.0276866326817642,0.0310565127201135,-4.47959121217956
"1424305_at",-0.821863985874403,9.13791687942452,-2.36587689794503,0.0276900352670543,0.0310565127201135,-4.47970376390006
"1448852_at",1.1666733449248,5.58337809532282,2.36138401607109,0.0279545432413628,0.031322417909986,-4.48840953092509
"1449829_at",0.717976169722812,5.9682450412279,2.36133054822131,0.0279577050485617,0.031322417909986,-4.48851307711829
"1417695_a_at",1.00083265036386,7.95515374337324,2.35855733251737,0.0281221521727026,0.0314894300982477,-4.49388185144229
"1436656_at",0.547319039854545,5.64867223976901,2.35196855475277,0.0285164454956488,0.0319134865437644,-4.50662270143925
"1419060_at",1.35719647397519,8.824359168716,2.34858335922352,0.0287210054553446,0.0321248602799267,-4.51316069744995
"1427631_x_at",1.89381389440329,4.9586254983241,2.34793031948423,0.0287606227330771,0.0321516131863219,-4.5144213173139
"1427076_at",0.871320701052479,10.3136849596626,2.34745993826413,0.0287891901000643,0.0321659909028542,-4.5153292094222
"1421775_at",-1.03971621943863,4.63940791160188,-2.3403034624493,0.0292270619916569,0.0326374170986442,-4.52912902658842
"1425548_a_at",0.636488208652086,10.5656486231595,2.3393804184295,0.0292839839551111,0.0326831602943147,-4.53090714550406
"1423147_at",2.55864328076889,5.35364294466466,2.33633469518195,0.0294725326165509,0.0328756790842572,-4.53677141740306
"1460014_at",0.954189448509627,9.05171645249413,2.32959514293249,0.0298937367286213,0.0333273668046905,-4.54973197127419
"1452123_s_at",0.654239364596362,8.24659948555983,2.32467297676919,0.0302048564983193,0.0336559010383884,-4.55918373541098
"1454193_at",0.601018370794353,8.62696572820526,2.31746666529698,0.030665734421265,0.0341508559514686,-4.57300044141604
"1418278_at",2.74875024248435,5.74931147358952,2.2988425779224,0.0318869721347316,0.0354915863760491,-4.60859117340606
"1436039_at",-0.609467636138552,9.06904397811665,-2.29829578003167,0.03192349377189,0.0355129360373877,-4.60963353532626
"1448816_at",1.33670488446408,5.81706341855573,2.28915645467421,0.0325396432417785,0.0361787130071456,-4.62703399666394
"1436766_at",-0.812953398904945,6.42643828392527,-2.28885995817286,0.0325598139439829,0.036181496992554,-4.62759780746125
"1418113_at",1.70007498610244,4.79161200180083,2.28846340101845,0.0325868097326136,0.0361918580978269,-4.62835182311366
"1435529_at",0.769183774951856,8.01523143180066,2.28047342914559,0.033135126517949,0.0367808884058318,-4.64352734954545
"1417618_at",1.36626933269617,6.21969081027123,2.27717438229032,0.0333639848569267,0.0370148651067095,-4.64978402655261
"1417561_at",2.16789704946168,7.00266614277225,2.27688059157652,0.0333844355705241,0.0370175008383505,-4.65034094022396
"1447774_x_at",0.633597927605662,10.6717738285565,2.27455333317198,0.033546842241764,0.0371774528739895,-4.65475099820213
"1455913_x_at",4.43193347195901,5.85515132518256,2.2686685050602,0.0339607492871184,0.0376158001838932,-4.66589040130463
"1429525_s_at",0.669160848093021,8.66496779939643,2.25244918104383,0.0351258664684715,0.0388852835283404,-4.69650174422224
